Description,Price,Rating,Review_Count,URL
"boAt Airdopes 441 TWS Ear-Buds with IWP Technology, Immersive Audio, Up to 30H Total Playback, IPX7 Water Resistance, Super Touch Controls, Secure Sports Fit & Type-C Port(Raging Red)","₹1,799",4.0 out of 5 stars,"102,497",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A04188242FB60Z0WR1NU6&url=%2FAirdopes-441-Technology-Immersive-Resistance%2Fdp%2FB084DS51NC%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dboat%2Btws%26qid%3D1633528251%26sr%3D8-1-spons%26psc%3D1&qualifier=1633528251&id=1943680929595019&widgetName=sp_atf
"boAt Airdopes 621 TWS Earbuds with 150 Hours Battery, Digital Battery Indicator, IPX7, IWP Technology, Bluetooth 5.0, Type-c Interface and Voice Assistant(White Frost)","₹1,999",3.7 out of 5 stars,"4,021",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A104294439W9KVREZLI4H&url=%2FboAt-Airdopes-621-Indicator-Technology%2Fdp%2FB08TSZR41P%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Dboat%2Btws%26qid%3D1633528251%26sr%3D8-2-spons%26psc%3D1&qualifier=1633528251&id=1943680929595019&widgetName=sp_atf
"boAt Airdopes 121v2 TWS Earbuds with Bluetooth V5.0, Immersive Audio, Up to 14H Total Playback, Instant Voice Assistant, Easy Access Controls with Mic and Dual Tone Ergonomic Design(Active Black)",₹899,3.8 out of 5 stars,"49,840",https://www.amazon.in/Airdopes-121v2-Bluetooth-Immersive-Assistant/dp/B08JQN8DGZ/ref=sr_1_3?dchild=1&keywords=boat+tws&qid=1633528251&sr=8-3
"boAt Airdopes 441 TWS Ear-Buds with IWP Technology, Immersive Audio, Up to 30H Total Playback, IPX7 Water Resistance, Super Touch Controls, Secure Sports Fit & Type-C Port(Active Black)","₹1,799",4.0 out of 5 stars,"102,497",https://www.amazon.in/Airdopes-441-Technology-Immersive-Resistance/dp/B086WM3RB8/ref=sr_1_4?dchild=1&keywords=boat+tws&qid=1633528251&sr=8-4
"boAt Airdopes 441 TWS Ear-Buds with IWP Technology, Immersive Audio, Up to 30H Total Playback, IPX7 Water Resistance, Super Touch Controls, Secure Sports Fit & Type-C Port(Raging Red)","₹1,799",4.0 out of 5 stars,"102,497",https://www.amazon.in/Airdopes-441-Technology-Immersive-Resistance/dp/B084DS51NC/ref=sr_1_5?dchild=1&keywords=boat+tws&qid=1633528251&sr=8-5
"boAt Airdopes 452 TWS Earbuds with Beast™ Mode for Low Latency, ENx Technology, Upto 20 Hours Battery, ASAP Charge, Bluetooth v5.2, IWP Technology, IPX4 and Type-c Interface(Maroon Madness)","₹1,299",2.7 out of 5 stars,24,https://www.amazon.in/boAt-Airdopes-452-Technology-Bluetooth/dp/B097GKVTX6/ref=sr_1_6?dchild=1&keywords=boat+tws&qid=1633528251&sr=8-6
"boAt Airdopes 621 TWS Earbuds with 150 Hours Battery, Digital Battery Indicator, IPX7, IWP Technology, Bluetooth 5.0, Type-c Interface and Voice Assistant(White Frost)","₹1,999",3.7 out of 5 stars,"4,021",https://www.amazon.in/boAt-Airdopes-621-Indicator-Technology/dp/B08TSZR41P/ref=sr_1_7?dchild=1&keywords=boat+tws&qid=1633528251&sr=8-7
"boAt Airdopes 121v2 TWS Earbuds with Bluetooth V5.0, Immersive Audio, Up to 14H Total Playback, Instant Voice Assistant, Easy Access Controls with Mic and Dual Tone Ergonomic Design(Midnight Blue)",₹899,3.8 out of 5 stars,"49,840",https://www.amazon.in/Airdopes-121v2-Bluetooth-Immersive-Assistant/dp/B08JQLB5CG/ref=sr_1_8?dchild=1&keywords=boat+tws&qid=1633528251&sr=8-8
"boAt Airdopes 121v2 TWS Earbuds with Bluetooth V5.0, Immersive Audio, Up to 14H Total Playback, Instant Voice Assistant, Easy Access Controls with Mic and Dual Tone Ergonomic Design(Cherry Blossom)",₹899,3.8 out of 5 stars,"49,840",https://www.amazon.in/Airdopes-121v2-Bluetooth-Immersive-Assistant/dp/B08JQM8SMH/ref=sr_1_9?dchild=1&keywords=boat+tws&qid=1633528251&sr=8-9
"boAt Airdopes 441 Pro TWS Ear-Buds with IWP Technology, Up to 150H Playback with Case, Power Bank Function, IPX7 Water Resistance, Super Touch Controls, Secure Sports Fit & Type-C Port(Active Black)","₹2,499",4.0 out of 5 stars,"102,497",https://www.amazon.in/Airdopes-441-Pro-Technology-Resistance/dp/B08CVT8Y53/ref=sr_1_10?dchild=1&keywords=boat+tws&qid=1633528251&sr=8-10
